workloads,service,scheduler,value
Terasort,inbox,PID-Sched,1.21
Terasort,inboxlist,PID-Sched,1.26
Terasort,login,PID-Sched,1.18
Terasort,loginpage,PID-Sched,1.15
Terasort,logout,PID-Sched,1.17
Terasort,demand,PID-Sched,1.17
Terasort,demandlist,PID-Sched,1.37
Terasort,homepage,DRL-Sched,1.17
Terasort,inbox,DRL-Sched,1.13
Terasort,inboxlist,DRL-Sched,1.18
Terasort,login,DRL-Sched,1.09
Terasort,loginpage,DRL-Sched,1.07
Terasort,logout,DRL-Sched,1.09
Terasort,demand,DRL-Sched,1.11
Terasort,demandlist,DRL-Sched,1.2
Terasort,homepage,COLTER,1.15
Terasort,inbox,COLTER,1.13
Terasort,inboxlist,COLTER,1.16
Terasort,login,COLTER,1.08
Terasort,loginpage,COLTER,1.06
Terasort,logout,COLTER,1.08
Terasort,demand,COLTER,1.1
Terasort,demandlist,COLTER,1.18
